タ,た,435,435,282,-1.4199
テ,て,307,307,356,-1.5110
ハ,は,261,261,468,-1.3769
ヲ,を,156,156,356,-1.4239
ガ,が,148,148,468,-1.4644
、,、,10,10,151,-1.2321
シ,し,610,610,258,-1.5965
デ,で,149,149,468,-1.6182
スル,する,599,599,481,-1.9168
ダ,だ,453,453,471,-1.9326
サ,さ,605,605,441,-1.9445
シロ,しろ,608,608,437,-1.9482
！,！,1318,1318,244,-1.9616
カ,か,359,359,468,-1.9723
イル,いる,919,919,468,-2.0007
カラ,から,147,147,356,-2.0009
ト,と,150,150,282,-2.0201
レ,れ,876,876,468,-2.0314
「,「,6,6,352,-2.0436
イ,い,930,930,356,-2.0994
ナ,な,12,12,468,-2.1120
ナウ,なう,32,32,468,-2.1120
ナカレ,なかれ,30,30,468,-2.1120
ナキ,なき,22,22,468,-2.1120
ナシ,なし,24,24,468,-2.1120
ト,と,363,363,282,-2.1141
ニ,に,329,329,282,-2.1204
。,。,8,8,61,-1.3153
マセ,ませ,497,497,17,-2.1291
マシ,まし,499,499,17,-2.1301
